Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
37,16685634,"Syed Asad Ali","2026-09-02 18:39:49",2774.7,2,syed3000
38,16714134,"Raul Tinajero","2026-09-02 23:46:23",2769.5,2,raultinajeroo
39,16730761,ElephtAI,"2026-09-02 21:57:31",2769.5,2,yuchengj
40,16707144,Kirderf,"2026-09-02 21:13:49",2767.4,2,kirderf
41,16622567,"Georgy Mamarin","2026-09-02 18:51:53",2763.8,2,georgymamarin
42,16627600,"NiA Farms","2026-09-02 23:16:33",2762.5,2,"adriaft,natliablascoandreo"
43,16752019,"Kaipeng Zheng","2026-09-02 12:44:55",2760.6,2,kaipengzheng
44,16657449,Timass,"2026-09-02 21:54:43",2757.5,2,timmass2
45,16637597,venks,"2026-09-02 21:33:23",2754.2,2,vterli
46,16781166,Ant,"2026-09-02 21:47:21",2751.7,2,anthonytrevino
47,16663783,WBF_USA_NYC,"2026-09-02 21:46:40",2750.9,2,wbfranci
48,16665641,"Alexander Shahramanyan","2026-09-02 17:19:54",2749.6,2,alexshah
49,16625060,"Subin An","2026-09-02 22:51:32",2747.9,2,subinium
50,16732210,tanadai,"2026-09-02 18:10:46",2747.1,2,da0516
51,16769836,weense,"2026-09-03 00:58:21",2746.6,2,weense
52,16663867,"Stephen Schott","2026-09-02 04:51:28",2746.6,2,steve421471
53,16723620,3정훈,"2026-09-02 22:23:50",2746.4,2,az05192000gmailcom
54,16660209,"Whyme Labs","2026-09-02 15:09:19",2745.2,2,whymelabs
55,16661743,"Sergey Kutepov","2026-09-02 16:04:40",2744.9,2,natsyst
56,16671150,Mc10nys0n,"2026-09-02 15:22:42",2742.5,2,rattanunt
57,16730676,ActiveMusyoku,"2026-09-03 00:56:25",2738.3,2,"daiki0381,kohei0okazaki,noriyukimori,ryonatori,seipon"
58,16670967,xnryxd,"2026-09-02 21:03:44",2737.8,2,al55522me
59,16746599,Borrun,"2026-09-02 20:40:23",2735.5,2,borrun
60,16655789,"wen chong yu","2026-09-02 22:15:30",2729.3,2,wenchongyu
61,16631421,cg,"2026-09-02 17:15:51",2726.3,2,chaitanyagarg2
62,16806195,unreal,"2026-09-02 12:35:10",2721.0,2,gauravgs1007
63,16711376,"Arman Tuganbaev","2026-09-02 11:55:09",2717.3,2,armantuganbaev
64,16624484,"Tomoki Hirose","2026-09-02 15:58:38",2716.6,2,tomokihirose
65,16660483,TIM,"2026-09-03 00:45:55",2715.3,2,daynoryamil
66,16763669,cm391,"2026-09-02 18:07:06",2715.0,2,mccocoful
67,16730735,YUK,"2026-09-02 15:18:14",2714.0,2,yu0307
68,16637987,Xander,"2026-09-02 11:43:33",2707.2,2,canqiang
69,16667604,L7n,"2026-09-02 17:43:38",2704.7,2,znwe342
70,16794730,Fanch,"2026-09-02 15:35:32",2699.1,2,fanch123
71,16732051,Jeryos,"2026-09-02 18:13:43",2699.0,2,joulskaf
72,16623716,tetsuya,"2026-09-03 00:49:35",2697.5,2,"tetsuya3510,yuanzhezhou"
73,16693534,HireMe,"2026-09-02 02:05:12",2695.8,2,junta1104
74,16624921,"sky machine","2026-09-02 23:08:47",2695.1,2,"gunhcolab,hweowe"
75,16656514,"Haiku 4.5 is Goated","2026-09-02 13:24:04",2689.3,2,praveensahukari
76,16773964,trung,"2026-09-02 17:00:58",2689.3,2,trung2006
77,16665829,Shadowfishes,"2026-09-02 23:24:53",2687.7,2,"boandme,ronitagarwal1,shauryasahdev2"
78,16688787,Fih,"2026-09-02 08:01:59",2685.1,2,vencerlanz09
79,16666434,"JOSHNA ACSHA S 21CS","2026-09-02 19:03:38",2684.5,2,joshnaacshas21cs
80,16695664,Bantam,"2026-09-02 06:51:24",2682.3,2,bantam
81,16732714,Mforg,"2026-09-02 20:30:48",2677.0,2,mforg74911
82,16621315,"Reyhan Ksatria","2026-09-02 18:03:19",2677.0,2,reyhanksatria
83,16727171,yfy,"2026-09-02 16:22:23",2676.1,2,qwidndbdjss
84,16783173,"Michael Shihong Zhang","2026-09-02 17:51:16",2674.9,2,"excelexx,festyve"
85,16634312,"Linh Le","2026-09-02 14:01:54",2674.8,2,linhlethuy
86,16807411,tamura_aicon,"2026-09-02 14:27:03",2674.1,2,hayatetaf
87,16635745,DataRockstar,"2026-09-03 00:20:51",2670.8,2,"amaropeter,jvlegend"
88,16676321,"tao wu11","2026-09-02 14:12:45",2668.6,2,"taowu11,xujchill"
89,16654995,"Artem Voronov","2026-09-02 21:42:07",2668.2,2,artemyvoronov
90,16672997,"Francesco Montone","2026-09-02 15:13:04",2666.1,2,francescomontone
91,16702975,RicardoLópez,"2026-09-02 16:08:51",2664.0,2,richi2489
92,16743392,tellurium_rrr,"2026-09-02 18:06:34",2663.5,2,telluriumrrr
93,16681405,"Yusuke Hayashi","2026-09-02 17:51:28",2662.5,2,yhay81
94,16719123,"Thomas Tschinkel","2026-09-02 22:26:27",2662.2,2,thomastschinkel
95,16623990,senkin13,"2026-09-02 16:42:32",2661.4,2,senkin13
96,16755099,"Aleksandr Ulianin","2026-09-02 16:17:37",2661.3,2,aleksandrulianin
97,16697229,"Masashi Nishimoto","2026-09-02 19:34:49",2659.0,2,masashinishimoto
98,16744979,"Ahmed Alhassan","2026-09-02 14:14:55",2659.0,2,ahmed55
99,16793553,hoon0303,"2026-09-02 15:55:59",2657.8,2,hoon0303
100,16641077,lucaskna,"2026-09-02 14:48:27",2657.4,2,lucaskna
101,16645596,Kosakunin,"2026-09-02 15:04:56",2654.2,2,yugoawawa
102,16666442,"SHALWIN SANJU","2026-09-02 19:04:01",2654.1,2,shalwinsanju
103,16623382,diamond_hoe,"2026-09-02 08:18:46",2654.1,2,bbrage
104,16712863,ominteam,"2026-09-02 16:20:30",2652.6,2,"luantony,suruikk"
105,16641710,yjshyfy,"2026-09-02 19:58:08",2651.7,2,yjshyfy
106,16635062,DL,"2026-09-02 16:13:38",2649.0,2,distiller
107,16712189,"Kostiantyn Isaienkov","2026-09-02 21:45:16",2640.7,2,isaienkov
108,16767215,keiz,"2026-09-03 00:00:19",2640.6,2,keizkeiz
109,16734447,"Ali Bauyrzhan","2026-09-02 13:59:43",2639.1,2,alibauyrzhan
110,16746025,Hamachi,"2026-09-02 20:41:16",2638.4,2,hamatz
111,16697767,"Teddy Tennant","2026-09-03 00:36:10",2637.7,2,thtennant
112,16734979,NiuLAI,"2026-09-02 08:00:03",2635.8,2,"chunsingyu,chunyinhui,jaminmei"
113,16668262,spbforce,"2026-09-02 20:53:55",2635.3,2,spbforce
114,16654068,"Renoir Vieira","2026-09-02 11:17:07",2635.3,2,renoirvieira0
115,16753974,"David Goldrajch","2026-09-02 16:37:51",2634.8,2,elie2003
116,16675063,"King Tian","2026-09-02 09:51:32",2630.8,2,tianwang1210
117,16782203,"rui xiong","2026-09-02 16:25:53",2630.0,2,xiongruihumingyu
118,16780141,"One Zero001","2026-08-31 15:50:37",2628.4,2,onezero001
119,16768236,Baligh,"2026-09-01 11:15:18",2627.2,2,balighmehrez
120,16632715,cmasch,"2026-09-02 08:54:55",2626.7,2,cmasch
121,16656432,"CornHub Premium","2026-09-02 23:40:50",2622.0,2,nihilisticneuralnet
122,16791248,"Ioannis Tzachristas","2026-09-03 00:42:46",2616.0,2,ioannistzachristas
123,16684402,vn1111,"2026-09-02 17:30:53",2610.7,2,vn1111
124,16623398,"Kaggle Agent","2026-09-02 19:51:39",2609.8,2,"jiweiliu,tonylica"
125,16689748,cheesytoasts,"2026-09-02 21:22:16",2606.3,2,cheesinnn
126,16626732,islet,"2026-09-02 02:05:51",2604.6,2,kojimar
127,16720797,"Vibe Farmer","2026-09-02 16:43:00",2603.1,2,pulakkantibhowmick
128,16654715,"Aqib Raza","2026-09-02 19:21:26",2601.6,2,aqibrazadev
129,16655520,"kaggle Osaka","2026-09-02 23:29:15",2599.7,2,toshiyukitanaka
130,16662121,One-For-All,"2026-09-02 15:34:38",2596.5,2,indarkarhana
131,16743836,"Auto Fermers","2026-09-02 15:44:31",2589.4,2,"artemboltaev,dmitriigluzdov"
132,16651244,"Knight of Favonius","2026-09-03 00:04:13",2584.3,2,ladyfaye
133,16677149,"Umataro Tenma","2026-09-02 21:01:13",2584.2,2,umatarotenma
134,16670537,Silhouette,"2026-09-03 01:11:11",2583.4,2,jamessargsyan
135,16723379,local,"2026-09-02 08:33:02",2583.4,2,matteo123383iend
136,16795853,GaoKui,"2026-09-02 17:35:50",2578.9,2,gaokui
137,16632224,"牧瀬 紅莉栖","2026-09-02 13:20:46",2578.8,2,yamakawanin
138,16704247,WeAreFarmers,"2026-09-03 00:02:45",2577.9,2,gbmorris1
139,16777406,"Toheeb Ogunade","2026-09-02 20:38:36",2577.8,2,toheebogunade
140,16714159,Lonnie,"2026-09-02 19:07:22",2576.9,2,lonnieqin
141,16734580,shyjin,"2026-09-03 00:20:20",2575.6,2,shyjin
142,16745006,UjjwalPardeshi,"2026-09-02 22:29:01",2572.4,2,ujjwalpardeshi
143,16810078,Sam-wiz,"2026-09-02 22:42:55",2570.7,2,samwiz
144,16665746,Chiranjieev,"2026-09-02 13:23:37",2567.5,2,"abhirajhiwale,amitambhore27,himanshu2605"
145,16641138,"Bharath Varma","2026-09-02 15:43:14",2567.3,2,bharath111l
146,16730076,SJY321,"2026-09-02 18:31:33",2566.4,2,sjy321
147,16667922,JungHwan,"2026-09-03 00:01:32",2566.2,2,najunghwan
148,16740996,ikevayansky,"2026-09-02 18:43:34",2564.6,2,ikevayansky
149,16762735,"Zenith Ye","2026-09-02 02:25:46",2563.8,2,zenithye
150,16683936,Cyrus,"2026-09-02 18:40:18",2563.7,2,jamalsaeedi
151,16636079,"Pawan Rama Mali","2026-09-03 00:14:23",2562.6,2,pawanmali
152,16624893,"GURU Prasaatha S","2026-09-02 15:57:23",2557.0,2,guruprasaathas111
153,16806862,JudyWatermelon,"2026-09-02 23:16:13",2555.1,2,judywatermelon
154,16709435,"Artyom Lyan","2026-09-02 12:43:34",2552.8,2,arli2016
155,16684954,"Suneeth reddy","2026-09-02 15:00:03",2551.4,2,suneethreddy
156,16749466,"The Wolf of Wheat Street","2026-09-02 18:05:09",2550.0,2,"lijuantang19,yuemengzheng01"
157,16766128,"Oleksandr Parfionov","2026-09-02 20:10:48",2546.9,2,parfyon
158,16740207,"As Long As You Love Me","2026-09-02 13:58:41",2546.7,2,theunforgiven7
159,16638994,wpl,"2026-09-02 20:25:07",2546.1,2,peilwang
160,16669148,"Syed Muhammad Gillani","2026-09-02 21:23:29",2545.8,2,syedmuhammadgillani
161,16737650,sime_saba,"2026-09-03 00:01:28",2545.7,2,watarukawashima
162,16710140,Lynxx,"2026-09-02 13:43:37",2545.1,2,lynnsakurai
163,16789946,"Oriol Pi Morell","2026-09-02 19:56:34",2544.8,2,oriolpi
164,16640807,TS,"2026-09-03 00:42:18",2544.2,2,takumi0220
165,16720316,"Hưng Trần","2026-09-02 12:02:27",2534.5,2,hungtrabiz
166,16660726,分比我低就受着,"2026-09-02 15:49:53",2532.4,2,gengsr
167,16784056,"anh nông dân may mắn","2026-09-03 01:00:31",2529.9,2,nguyen1tri
168,16655150,"Benjamin H Pepper","2026-09-03 00:20:02",2528.6,2,bhpepper
169,16736542,YuRuiZe,"2026-09-02 18:37:15",2528.2,2,ruoyuruize
170,16633226,test_money,"2026-09-02 21:11:44",2527.9,2,michaelsemenoff
171,16622349,"Mengfei Li","2026-09-02 21:07:09",2525.1,2,meli19
172,16752740,BorisV,"2026-09-02 12:19:20",2524.4,2,bvoskresenskii
173,16806587,"Dear Shark","2026-09-02 13:48:08",2524.4,2,dearshark
174,16624056,Raggriculture,"2026-09-02 14:53:48",2522.1,2,ravi123a321at
175,16811247,"Luca Mussino","2026-09-02 23:02:54",2521.3,2,lucamussino
176,16623400,Less,"2026-09-02 23:37:45",2520.9,2,jiaoyouzhang
177,16688460,lllleeeo,"2026-09-02 06:37:32",2518.9,2,lllleeeo
178,16635351,AAAMIKASA,"2026-09-02 14:11:51",2517.7,2,aaamikasa
179,16657032,"Ayaan Ghosh","2026-09-02 18:33:57",2516.6,2,ayan9001
180,16677847,ShiviWhivi,"2026-09-03 00:02:25",2515.5,2,blackpearls1
181,16641169,boatlee,"2026-09-02 12:45:49",2515.4,2,boatlee
182,16783721,"LI Mufeng","2026-09-02 14:46:27",2513.3,2,"alkaidchen,limufeng"
183,16742369,"Ömer Faruk Yüce","2026-09-02 15:50:49",2512.3,2,merfarukyce
184,16621063,"Aikyatan Sinha","2026-09-02 11:27:34",2509.3,2,"aikyatansinha,vamshikrishnaemmadi"
185,16669926,Jince,"2026-09-03 00:49:02",2509.2,2,jincesaju
186,16637973,StephenNedumpally,"2026-09-02 14:34:46",2508.9,2,stephennedumpally
187,16695931,"Kers Aoyagi","2026-09-02 22:51:45",2508.7,2,kersaoyagi
188,16672251,"Kavinkumar M","2026-09-02 17:32:43",2508.1,2,kavinkumarrkm
189,16667964,Shuiys,"2026-09-02 12:47:23",2506.6,2,ysshui
190,16764089,UtaAzu,"2026-09-02 23:44:37",2505.6,2,utaazu
191,16623799,"Akhilesh godugu","2026-09-02 13:46:26",2504.8,2,"akhileshgodugu,ashokgodugu"
192,16802410,"Aleksandr  Larko","2026-09-02 13:34:26",2503.3,2,alexxanderlarko
193,16735353,我是刘大聪,"2026-09-02 14:52:16",2502.5,2,smartorz
194,16674508,"Giulio Ravasio","2026-09-02 22:13:31",2502.3,2,giuliorav
195,16624979,"Mohamed abdelrazik","2026-09-02 06:19:46",2502.2,2,mohamed3abdelrazik
196,16749205,"Wish Coding Guy","2026-09-02 10:33:15",2500.6,2,tommycyd
197,16779957,养了一群扫福瑞,"2026-09-02 12:13:01",2499.9,2,whq0q7
198,16668227,Yusuraume,"2026-09-02 15:06:44",2499.0,2,sugitatomohiko
199,16799304,"Rlug mb","2026-09-02 12:54:27",2498.9,2,"minhtrph,rlugmb"
200,16719884,ykhnkf,"2026-09-02 12:47:32",2498.5,2,ykhnkf
201,16801457,"Who Stole My Vegetables?","2026-09-02 12:54:15",2497.4,2,subaru486
202,16737237,"Ayodeji Adesegun","2026-09-02 12:09:57",2497.1,2,ayodejiadesegun
203,16808178,qianyuatkaggle,"2026-09-03 00:20:10",2497.0,2,qianyuatkaggle
204,16679688,"Sathwik Chinthakayala","2026-09-03 00:37:08",2497.0,2,sathwikchinthakayala
205,16677810,"Maksim Borisov","2026-09-03 00:05:04",2496.5,2,ma4ypic4y
206,16764605,"Bandito Gangesterito","2026-09-02 14:43:01",2496.1,2,"mrtrueteller,restovrator"
207,16655519,CurveCowboy,"2026-09-03 00:10:15",2493.0,2,curvecowboy
208,16657877,zigiella,"2026-09-02 11:35:22",2492.0,2,zigiella
209,16660255,"Revanth Tambisetty","2026-09-02 12:04:40",2491.5,2,revanthtambisetty
210,16757621,Kurokawa,"2026-09-02 12:49:54",2490.5,2,hiroshikurokawa
211,16622459,"Munal Singh","2026-09-03 01:12:07",2488.7,2,munalsingh
212,16810275,Adam,"2026-09-03 00:29:24",2487.1,2,potonglantie93
213,16681116,Kagamihara,"2026-09-02 16:38:03",2485.4,2,kagamihara
214,16757809,dasfds,"2026-09-02 14:26:32",2482.1,2,dasfds
215,16653982,"Arul Prasad S P","2026-09-02 19:03:16",2481.1,2,arulprasadsp
216,16651695,"Abnormal Guys","2026-09-02 13:25:42",2480.9,2,"gwey1025,koushikrudra"
217,16716821,めめっち,"2026-09-02 12:21:28",2476.1,2,mechi22
218,16747577,"Nolan BONHOMME","2026-09-02 14:19:30",2476.0,2,nolanbonhomme
219,16746010,"Khoi Tuan Nguyen","2026-09-02 16:07:55",2474.4,2,khoingt
220,16674312,yuxuan,"2026-09-02 16:21:20",2473.8,2,yuxuan1221
221,16682879,"Ace Team","2026-09-02 16:58:27",2473.2,2,drpatrickchan
222,16736435,Dieter,"2026-09-02 23:12:03",2471.7,2,"arc144,christofhenkel,crodoc"
223,16694149,maxout,"2026-09-02 15:12:21",2471.2,2,"aadijoshi19,kavyabhand"
224,16629033,"Igor V","2026-09-02 20:09:06",2469.5,2,rostigor
225,16665294,"Thái Văn Tài","2026-09-02 10:02:36",2467.7,2,thivnti
226,16632493,"oni chan arigato","2026-09-02 18:34:13",2466.6,2,"kindasomethin,nabidnur"
227,16629165,lingyu07,"2026-09-03 00:56:41",2465.7,2,lingyu07
228,16809874,もたざる,"2026-09-02 18:05:29",2464.3,1,havenox
229,16798172,"Dmytro Maliarenko","2026-09-02 21:28:17",2462.3,2,arxitekton
230,16676278,"Om Sangwan","2026-09-02 19:27:26",2461.5,2,omsangwan
231,16661118,"Sirui Zeng","2026-09-02 18:51:24",2459.1,2,siruizeng
232,16670032,Kenjo1209,"2026-09-01 19:57:18",2459.1,2,kenjo1209
233,16641751,Hikari_30,"2026-09-03 00:25:43",2457.7,2,hikari30
234,16734914,bharat,"2026-09-03 00:07:04",2456.7,2,bharatmohan
235,16669490,hinemos,"2026-09-02 17:14:45",2456.5,2,hinemos
236,16749061,"Wang H2O","2026-09-02 09:13:34",2455.4,2,wangh2o
237,16659464,"Héctor Valverde","2026-09-03 00:20:40",2454.3,2,hvpareja
238,16774823,fan2goa1,"2026-09-02 21:51:39",2449.5,2,zfun0926
239,16670879,"old macdonald","2026-09-01 15:55:31",2448.9,2,djschmit
240,16790585,wzyxp_123,"2026-09-02 17:50:49",2448.4,2,cloudssdut
241,16684093,"fog flower","2026-09-02 14:26:35",2448.2,2,fogflower
242,16685763,"koren sabag","2026-09-03 00:04:03",2446.5,2,korensabag
243,16657576,"SUBHASH B","2026-09-02 14:20:11",2445.5,2,"rishikrish1,subhashb21022"
244,16635067,"Berat Egemen Gök","2026-09-02 19:52:19",2445.0,2,berategemengk
245,16704466,"QQ Farming","2026-08-31 14:47:21",2444.9,2,"dzjiann,hdhsjdjd,mitubant,ngyzly"
246,16732403,ymg_aq,"2026-09-02 23:15:29",2444.9,2,ymgpalaqs
247,16695046,"Farmers Is All You Need","2026-09-03 01:06:00",2442.9,2,"aurax7,coolinlai,davidsarrat,pseree,zongzishuang"
248,16735252,LagrangianLocomotive,"2026-09-03 00:06:08",2437.8,2,lagrangianlocomotive
249,16786102,"Anay Garodia","2026-09-03 00:30:31",2437.0,2,anaygarodia
250,16727103,sword3522,"2026-09-02 03:19:57",2436.2,2,"qinyanqiu,sword3522"
251,16654881,Freddy,"2026-09-02 22:13:37",2435.3,2,twoxding
252,16769059,"Shaw Sebastian","2026-09-02 21:58:27",2434.5,2,"shawsebastian,tvtdddd"
253,16655277,GUAM,"2026-09-02 21:10:59",2434.3,2,"analyticaobscura,jeongminlee92,kmmmvs,wnmgrn"
254,16702754,"ИТМОНИ AI B2B 67 SaaS","2026-09-02 09:09:40",2431.8,2,"borismatsakov,kirya1"
255,16811072,Rafael,"2026-09-02 21:30:49",2431.6,1,rafaeldsjhkas
256,16634765,democatXamer,"2026-09-02 15:56:37",2431.5,2,w1326627677
257,16688568,Sophie555,"2026-09-02 20:46:15",2431.1,2,sophie555
258,16722888,GarrieD,"2026-09-02 22:12:21",2428.9,2,garried
259,16622198,"THUNDER THUNDER","2026-09-02 18:29:05",2426.8,2,thunderthunder
260,16664836,"Adnan Zaman","2026-09-02 18:18:04",2426.7,2,adnanzamanniloy
261,16797251,"Nguyễn Mạnh Niên","2026-09-02 06:19:44",2426.1,2,jacobrichard312
262,16631640,"Danielle Lesin fan","2026-09-02 14:31:59",2425.2,2,caoyupeng
263,16686424,"Thần Thoại","2026-09-02 17:01:58",2424.3,2,thanthoai
264,16657594,"Wojciech Krasowski","2026-09-02 20:37:04",2424.0,2,ci3l4k
265,16716078,WENJIE_Wang,"2026-09-01 17:08:17",2422.8,2,"jenzenhuang,luwyeb,wafflebear,wenjiewangdev"
266,16695685,"kwon yong deuk","2026-09-02 13:03:40",2421.7,2,kwonyongdeuk
267,16763897,BackFiring,"2026-09-02 17:33:38",2421.0,2,backfiring
268,16676114,Gekkotron,"2026-09-01 09:05:08",2420.7,2,gekkotron
269,16722995,July,"2026-09-02 09:58:07",2418.1,2,julyzseven
270,16763505,"Sai Reddy Pothireddy","2026-09-02 22:56:19",2417.3,2,saireddypothireddy
271,16758882,mtmr_s1,"2026-09-03 00:33:13",2416.9,2,mtmrs1
272,16697089,"aghbalou Anass","2026-09-02 19:45:47",2414.2,2,aghbalouanass
273,16633340,"Tim Zagrebelny","2026-09-02 10:23:31",2413.9,2,timzagrebelny
274,16764546,Thirst,"2026-09-01 13:34:19",2412.6,2,wahidakram
275,16778946,yuki0731,"2026-08-31 00:00:21",2412.5,2,yuki0731
276,16668783,Zyy7390,"2026-09-02 08:42:39",2411.7,2,"tigerrrrrr,zyy7390"
277,16799554,dengddd,"2026-09-02 14:02:40",2411.6,2,dengdgq
278,16810308,"Congying Ma","2026-09-02 23:47:08",2409.2,2,congyingma
279,16680144,AM,"2026-09-02 18:13:13",2408.6,2,adammekky
280,16634704,"Maham Haroon","2026-09-02 14:59:44",2407.3,2,mahamhc
281,16767960,"Yuvraj Bhati","2026-09-03 00:00:06",2406.8,2,avioon
282,16644724,"Yiheng Wang","2026-09-02 11:52:37",2406.5,2,yiheng
283,16755705,"Semyon Epanov","2026-09-03 00:31:23",2400.7,2,semyonepanov
284,16675344,PP_Azelearn,"2026-09-01 05:23:30",2399.3,2,"androidss,keitookamoto,pptakehirokawada"
285,16691270,"Piyal Chowdhury","2026-09-02 19:33:56",2397.2,2,piyalchowdhury
286,16725793,Krilin,"2026-09-02 12:31:11",2394.8,2,krilin
287,16778340,NayuNayu,"2026-09-03 00:12:54",2394.4,2,nayunayu1005
288,16659870,"Tien N.","2026-09-03 00:06:02",2393.5,2,tientrum
289,16738424,Yunioshi,"2026-09-01 14:51:54",2390.9,2,yunioshi
290,16781279,zhyphirus,"2026-09-02 20:48:29",2390.5,2,zhyphirus
291,16665416,"zeyu lau","2026-09-02 18:58:33",2389.7,2,zeyulau
292,16732578,nao.kwmr,"2026-09-02 01:01:01",2387.6,2,naokwmr
293,16699165,lime0001,"2026-09-02 12:48:30",2383.3,2,lime0001
294,16661768,"Lợi Trần Bảo","2026-09-02 17:08:10",2382.7,2,litrnbo
295,16760523,"Joseph Ayanda","2026-09-02 23:45:58",2380.8,2,josephayanda
296,16658677,大山,"2026-09-02 23:16:12",2379.9,2,mapodoufu
297,16682932,"Iulian Curte","2026-09-03 00:00:33",2379.8,2,iuliancurte
298,16806053,hisatarosu,"2026-09-03 00:10:09",2378.6,2,tomako4390
299,16621500,"Reinforcement Larping","2026-09-01 15:56:45",2377.8,2,egortkachenko
300,16805370,"Gaiar Baimuratov","2026-09-02 15:03:54",2377.0,2,baimuratov
301,16662883,OceanMix,"2026-09-02 23:55:17",2376.7,2,"cggonzalezsc,fierus,liesvyvalladares"
302,16681369,GanadorPlusUltra,"2026-09-02 20:53:05",2375.3,2,ganadorplusultra
303,16775076,hiros,"2026-09-02 19:13:42",2374.3,2,hiroshige1
304,16669856,StrugglerK,"2026-09-02 19:45:01",2369.6,2,muhammedkaanlker
305,16675684,washamba_bots,"2026-09-01 22:23:46",2369.0,2,"billygmwangi,futurecentaur,peterkibetspidey,stephanenjoki"
306,16663247,Ak,"2026-09-01 10:35:43",2368.6,2,abisheksrivastav
307,16709068,Vib,"2026-09-01 04:44:16",2368.0,2,viblal
308,16799934,auhulu,"2026-09-02 17:34:56",2366.0,2,auhulu
309,16629972,"forever young","2026-09-02 21:08:03",2365.7,2,keisukeyokota0428
310,16665637,Luvsh81,"2026-09-03 00:00:30",2365.4,2,luvsh81
311,16806219,"Yiwei Pu","2026-09-02 17:43:52",2364.0,2,"lvyihan1210,raven20010261,yiweipu"
312,16683199,"Filippo Gombac","2026-09-02 17:16:47",2361.9,2,filippogombac
313,16659957,"Jaydon J P","2026-09-02 04:45:33",2361.5,2,jaydonjp
314,16797543,Tarang222,"2026-09-03 00:02:32",2361.1,2,tarang222
315,16626332,"MD. Nazmus Sakib Anik","2026-09-03 00:00:29",2360.9,2,beyondlogic
316,16713281,SirShifu,"2026-08-31 09:19:51",2360.9,2,sirshifu
317,16796600,skyShenzi5822,"2026-09-02 08:11:18",2358.0,2,skyshenzi
318,16701258,ln,"2026-09-02 19:00:54",2357.9,2,nazarov
319,16664969,"wuliao luis","2026-09-02 10:17:30",2356.7,2,wuliaoluis
320,16632593,skomuro,"2026-09-01 12:43:55",2356.0,2,skomuro
321,16654585,"David Pedersen","2026-09-02 21:41:00",2355.9,2,semalytics
322,16630752,motemen,"2026-09-02 07:49:42",2352.9,2,motemen
323,16670948,wally0593,"2026-09-02 08:31:29",2352.0,2,wally0593
